stock_number,upc,catalog_number,display_name,website_name,source_categories,size,finish,price,price_label,availability,is_discontinued,url,image,secondary_image,features,safe_working_load_range,collection,web_type,self_closing,keyed,pin_type,technical_documents
N342-584,038613342774,V279,Heavy Duty Auto-Close Gate Hinge,"278 Heavy Duty Auto-Close Gate Hinge, Zinc Plated, 3-1/2""",Gate Hinges,"3-1/2""",Zinc Plated,54.6,National Hardware list price,Active,False,https://www.national-hardware.com/p/278-heavy-duty-auto-close-gate-hinge?model=N342-584,https://images.national-hardware.com/is/image/nh/snh_342584_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,,False,False,,
N342-774,038613342774,V278,Heavy Duty Auto-Close Gate Hinge,"278 Heavy Duty Auto-Close Gate Hinge, Black, 3-1/2""",Gate Hinges,"3-1/2""",Black,35.6,National Hardware list price,Active,False,https://www.national-hardware.com/p/278-heavy-duty-auto-close-gate-hinge?model=N342-774,https://images.national-hardware.com/is/image/nh/nh_342774_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,,False,False,,
N109-001,886780017458,,Heavy Duty Flip Latch,"1130 Heavy Duty Flip Latch, Black",Gate Latches & Locks,,Black,54.31,National Hardware list price,Active,False,https://www.national-hardware.com/p/1130-heavy-duty-flip-latch?model=N109-001,https://images.national-hardware.com/is/image/nh/snh_109001_box?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_109001_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_1130_n109-001.pdf
N166-015,886780029543,1121,Heavy Duty Gate Latch,"1121 Heavy Duty Gate Latch, Black, 7.57""",Gate Latches & Locks,"7.57""",Black,35.29,National Hardware list price,Active,False,https://www.national-hardware.com/p/1121-heavy-duty-gate-latch?model=N166-015,https://images.national-hardware.com/is/image/nh/nh_166015_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_166015_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/sn12072.pdf
N117-994,038613117990,V2000,Hook & Eye,"2000 Hooks & Eyes, Zinc Plated, 3""",Gate Latches & Locks,"3""",Zinc Plated,2.82,National Hardware list price,Active,False,https://www.national-hardware.com/p/2000-hooks-eyes?model=N117-994,https://images.national-hardware.com/is/image/nh/nh_117994_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,
N166-005,038613117990,2000,Hook & Eye,"2000 Hook & Eye, Black, 4""",Gate Latches & Locks,"4""",Black,9.52,National Hardware list price,Active,False,https://www.national-hardware.com/p/2000-hooks-eyes?model=N166-005,https://images.national-hardware.com/is/image/nh/nh_166005_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,
N101-451,038613101456,V24,In-Swinging Thumb Latch,"24 In-Swinging Thumb Latches, Black",Gate Latches & Locks,,Black,26.85,National Hardware list price,Active,False,https://www.national-hardware.com/p/24-in-swinging-thumb-latches?model=N101-451,https://images.national-hardware.com/is/image/nh/nh_101451_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v24_n101-451.pdf
N101-485,038613101456,V24,In-Swinging Thumb Latch,In-Swinging Thumb Latches,Gate Latches & Locks,,Galvanized,22.71,National Hardware list price,Discontinued,True,https://www.national-hardware.com/p/24-in-swinging-thumb-latches?model=N101-485,https://images.national-hardware.com/is/image/nh/nh_101485_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v24_n101-451.pdf
N166-036,886780030686,V1127,Industrial Gate Kit,"1127 Industrial Gate Kit, Black",Gate Kits,,Black,133.5,National Hardware list price,Active,False,https://www.national-hardware.com/p/1127-industrial-gate-kit?model=N166-036,https://images.national-hardware.com/is/image/nh/nh_166036_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v1127.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/nh_ig_sn12199_v1127_.pdf
N166-033,886780030662,V1124,Industrial Gate Latch,"1124 Industrial Gate Latch, Black, 7-29/32""",Gate Latches & Locks,"7-29/32""",Black,32.08,National Hardware list price,Active,False,https://www.national-hardware.com/p/1124-industrial-gate-latch?model=N166-033,https://images.national-hardware.com/is/image/nh/nh_166033_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_ig_sn12197_v1124_.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v1124.pdf
N166-032,886780030655,V1101,Industrial Gate Pull,"1101 Industrial Gate Pull, Black, 9""",Gate Parts & Accessories,"9""",Black,61.61,National Hardware list price,Active,False,https://www.national-hardware.com/p/1101-industrial-gate-pull?model=N166-032,https://images.national-hardware.com/is/image/nh/nh_166032_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v1101.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/nh_ig_sn12196_v1101_.pdf
N166-013,886780029529,1119,Industrial Pipe Handle,"1119 Industrial Pipe Handle, Black, 10.5""",Gate Parts & Accessories,"10.5""",Black,49.9,National Hardware list price,Active,False,https://www.national-hardware.com/p/1119-industrial-pipe-handle?model=N166-013,https://images.national-hardware.com/is/image/nh/nh_166013_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_166013_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/sn12071.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_1119_n166-013.pdf
N166-035,886780030679,V1126,Industrial T-Hinges,"1126 Industrial T-Hinges, Black, 6""",Gate Hinges,"6""",Black,41.07,National Hardware list price,Active,False,https://www.national-hardware.com/p/1126-industrial-t-hinges?model=N166-035,https://images.national-hardware.com/is/image/nh/noimage?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,,False,False,Removable,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v1126.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/nh_ig_sn12198_v1126_.pdf
N179-150,038613179158,V858S,Lag Screws,"858 Lag Screws, Black, 5/16"" x 1-1/2""",Gate Parts & Accessories,"5/16"" x 1-1/2""",Black,3.95,National Hardware list price,Active,False,https://www.national-hardware.com/p/858-lag-screws?model=N179-150,https://images.national-hardware.com/is/image/nh/nh_179150_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_179150_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,,False,False,,
N342-568,038613342569,V283,Lighter Duty Gate T-Hinge,"283 Lighter Duty Gate T Hinges, White, 3-1/2""",Gate Hinges,"3-1/2""",White,27.09,National Hardware list price,Active,False,https://www.national-hardware.com/p/283-lighter-duty-gate-t-hinges?model=N342-568,https://images.national-hardware.com/is/image/nh/nh_342568_c1?$nhwProductThumbs$,,lifespan|outdoor,,,,False,False,,
N342-576,038613342569,V283,Lighter Duty Gate T-Hinge,"283 Lighter Duty Gate T Hinges, Aluminum, 3-1/2""",Gate Hinges,"3-1/2""",Aluminum,16.07,National Hardware list price,Discontinued,True,https://www.national-hardware.com/p/283-lighter-duty-gate-t-hinges?model=N342-576,https://images.national-hardware.com/is/image/nh/nh_342576_c1?$nhwProductThumbs$,,lifespan|outdoor,,,,False,False,,
N109-002,886780017465,,Lockable Cane Bolt,"809 Lockable Cane Bolt, Black, 18""",Gate Latches & Locks,"18""",Black,54.31,National Hardware list price,Active,False,https://www.national-hardware.com/p/809-lockable-cane-bolt?model=N109-002,https://images.national-hardware.com/is/image/nh/snh_109002_box?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_109002_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Cane & Sliding Bolts,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_809_n109-002.pdf
N166-001,886780029406,1111,Lockable Security Bolt,"1111 Lockable Security Bolt, Black, 6""",Gate Latches & Locks,"6""",Black,25.84,National Hardware list price,Active,False,https://www.national-hardware.com/p/1111-lockable-security-bolt?model=N166-001,https://images.national-hardware.com/is/image/nh/nh_166001_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_166001_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_1111_n166-001.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/sn12059.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/pf_is_001-111_23636-0700.pdf
N346-201,886780019032,V6201,LokkLatch,"6201 LokkLatch, Black, 4-9/16""",Gate Latches & Locks,"4-9/16""",Black,82.36,National Hardware list price,Active,False,https://www.national-hardware.com/p/6201-lokklatch?model=N346-201,https://images.national-hardware.com/is/image/nh/snh_346201_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/snh_346201_v2?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,
N346-202,886780019049,V6203,LokkLatch Deluxe,"6203 LokkLatch Deluxe, Black, 5-7/8""",Gate Latches & Locks,"5-7/8""",Black,234.68,National Hardware list price,Active,False,https://www.national-hardware.com/p/6203-lokklatch-deluxe?model=N346-202,https://images.national-hardware.com/is/image/nh/snh_346202_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/snh_346202_v1?$nhwProductThumbs$,lifespan|outdoor,,,Gate_Latches-Locks Latches,False,False,,
N346-203,886780019056,V6205,MagnaLatch Side Pull,"6205 MagnaLatch Side Pull, Black, 2-3/4""",Gate Latches & Locks,"2-3/4""",Black,74.15,National Hardware list price,Active,False,https://www.national-hardware.com/p/6205-magnalatch-side-pull?model=N346-203,https://images.national-hardware.com/is/image/nh/snh_346203_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/snh_346203_v1?$nhwProductThumbs$,lifespan|outdoor,,,Gate_Latches-Locks Latches,False,False,,
N346-210,886780023770,V6208,MagnaLatch Top Pull,"6208 MagnaLatch Top Pull, Black, 21""",Gate Latches & Locks,"21""",Black,263.07,National Hardware list price,Active,False,https://www.national-hardware.com/p/6208-magnalatch-top-pull?model=N346-210,https://images.national-hardware.com/is/image/nh/nh_346210_c1?$nhwProductThumbs$,,lifespan|outdoor,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_6208_techdoc.pdf
N346-212,886780025224,V6208,MagnaLatch Vertical Pull,"6208 MagnaLatch Vertical Pull, Black, 13""",Gate Latches & Locks,"13""",Black,301.89,National Hardware list price,Active,False,https://www.national-hardware.com/p/6208-magnalatch-vertical-pull?model=N346-212,https://images.national-hardware.com/is/image/nh/nh_346212_c1?$nhwProductThumbs$,,outdoor,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_6208_techdoc.pdf
N342-618,038613342620,V21A,MaxLatch™,"21 MaxLatch, Zinc Plated, 4""",Gate Latches & Locks,"4""",Zinc Plated,14.22,National Hardware list price,Active,False,https://www.national-hardware.com/p/21-maxlatch?model=N342-618,https://images.national-hardware.com/is/image/nh/snh_342618_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_342618_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,
N342-626,038613342620,V21A,MaxLatch™,"21 MaxLatch, Black, 4""",Gate Latches & Locks,"4""",Black,16.91,National Hardware list price,Active,False,https://www.national-hardware.com/p/21-maxlatch?model=N342-626,https://images.national-hardware.com/is/image/nh/snh_342626_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_342626_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,
N342-634,038613342620,V21A,MaxLatch™,"21 MaxLatch, Galvanized, 4""",Gate Latches & Locks,"4""",Galvanized,15.61,National Hardware list price,Discontinued,True,https://www.national-hardware.com/p/21-maxlatch?model=N342-634,https://images.national-hardware.com/is/image/nh/nh_342634_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_342626_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,
N342-642,038613342644,V29A,MaxLatch™ Gate Latch,"29 MaxLatch Gate Latches, Stainless Steel, 4""",Gate Latches & Locks,"4""",Stainless Steel,33.85,National Hardware list price,Active,False,https://www.national-hardware.com/p/29-maxlatch-gate-latches?model=N342-642,https://images.national-hardware.com/is/image/nh/nh_342642_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_342642_iu?$nhwProductThumbs$,lifespan|outdoor|stainlesssteel|weatherguard,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v29_v1261.pdf
N166-023,886780030570,V1108,Modern Drop Bar Latch,"1108 Modern Drop Bar Latch, Black, 7-3/4""",Gate Latches & Locks,"7-3-4""",Black,29.52,National Hardware list price,Active,False,https://www.national-hardware.com/p/1108-modern-drop-bar-latch?model=N166-023,https://images.national-hardware.com/is/image/nh/nh_166023_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v1108.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/nh_ig_sn12188_v1108_.pdf
N166-026,886780030594,V1110,Modern Gate Kit,"1110 Modern Gate Kit, Black",Gate Kits,,Black,109.11,National Hardware list price,Active,False,https://www.national-hardware.com/p/1110-modern-gate-kit?model=N166-026,https://images.national-hardware.com/is/image/nh/noimage?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_ig_sn12190_v1110_.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v1110.pdf
N166-022,886780030563,V1107,Modern Gate Pull,"1107 Modern Gate Pull, Black, 10""",Gate Parts & Accessories,"10""",Black,48.77,National Hardware list price,Active,False,https://www.national-hardware.com/p/1107-modern-gate-pull?model=N166-022,https://images.national-hardware.com/is/image/nh/nh_166022_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v1107.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/nh_ig_sn12187_v1107_.pdf
N166-029,886780030624,V1105,Modern Gate Pull,"1105 Modern Gate Pull, Black, 10""",Gate Parts & Accessories,"10""",Black,43.63,National Hardware list price,Active,False,https://www.national-hardware.com/p/1105-modern-gate-pull?model=N166-029,https://images.national-hardware.com/is/image/nh/nh_166029_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_ig_sn12193_v1105_.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v1105.pdf
N166-037,886780033885,V1170,Modern Gate Pull,,Gate Parts & Accessories,,Black,30.23,National Hardware list price,Active,False,https://www.national-hardware.com/p/1170-modern-gate-pull?model=N166-037,https://images.national-hardware.com/is/image/nh/n166-037_c1?$nhwProductThumbs$,,aluminum|lifespan|outdoor,,,,False,False,,
N166-024,886780030587,V1106,Modern Square Gate Hinges,"1106 Modern Square Gate Hinges, Black, 4-19/32""",Gate Hinges,"4-19/32""",Black,35.94,National Hardware list price,Active,False,https://www.national-hardware.com/p/1106-modern-square-gate-hinges?model=N166-024,https://images.national-hardware.com/is/image/nh/nh_166024_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,,False,False,Removable,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_ig_sn12189_v1106_.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v1106.pdf
N178-616,038613178618,V27,Ornamental Gate Latch,"27 Ornamental Gate Latches, Black, to 3""",Gate Latches & Locks,"to 3""",Black,34.38,National Hardware list price,Active,False,https://www.national-hardware.com/p/27-ornamental-gate-latches?model=N178-616,https://images.national-hardware.com/is/image/nh/snh_178616_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_178616_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v27_n178-616.pdf
N100-032,038613100039,V2,Ornamental Pull,"2 Ornamental Pulls, Black, 6-1/2""",Gate Parts & Accessories,"6-1/2""",Black,9.25,National Hardware list price,Active,False,https://www.national-hardware.com/p/2-ornamental-pulls?model=N100-032,https://images.national-hardware.com/is/image/nh/snh_100032_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_100032_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v2_n100-032.pdf
N100-057,038613100053,V3,Ornamental Pull,"3 Ornamental Pulls, Black, 8-3/4""",Gate Parts & Accessories,"8-3/4""",Black,10.75,National Hardware list price,Active,False,https://www.national-hardware.com/p/3-ornamental-pulls?model=N100-057,https://images.national-hardware.com/is/image/nh/snh_100057_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,,False,False,,
N262-113,038613100053,V3,Ornamental Pull,Ornamental Pulls,Gate Parts & Accessories,"8-3/4""",White,6.74,National Hardware list price,Discontinued,True,https://www.national-hardware.com/p/3-ornamental-pulls?model=N262-113,https://images.national-hardware.com/is/image/nh/snh_262113_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,,False,False,,
N342-709,038613342705,V9,Ornamental Pull,"9 Ornamental Pulls, Stainless Steel, 11""",Gate Parts & Accessories,"11""",Stainless Steel,24.18,National Hardware list price,Active,False,https://www.national-hardware.com/p/9-ornamental-pulls?model=N342-709,https://images.national-hardware.com/is/image/nh/nh_342709_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_342709_iu?$nhwProductThumbs$,lifespan|outdoor|stainlesssteel|weatherguard,,,,False,False,,
N166-011,886780029505,1117,Ornamental S Hinge,"1117 Ornamental S Hinge, Black, 6""",Gate Hinges,"6""",Black,29.1,National Hardware list price,Active,False,https://www.national-hardware.com/p/1117-ornamental-s-hinge?model=N166-011,https://images.national-hardware.com/is/image/nh/nh_166011_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_166011_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_1117_n166-011.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/sn12069.pdf
N165-464,038613165465,V844,Ornamental Screw Hooks/Strap Hinges,"844 Ornamental Screw Hook-Strap Hinges, Black, 7""",Gate Hinges,"7""",Black,39.07,National Hardware list price,Active,False,https://www.national-hardware.com/p/844-ornamental-screw-hook-strap-hinges?model=N165-464,https://images.national-hardware.com/is/image/nh/nh_n165-464_mp1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,41 - 50 lb,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v844_n165-464.pdf
N165-472,038613165472,V846,Ornamental Spring T-Hinge,"846 Ornamental Spring T Hinges, Black, 7""",Gate Hinges,"7""",Black,49.96,National Hardware list price,Active,False,https://www.national-hardware.com/p/846-ornamental-spring-t-hinges?model=N165-472,https://images.national-hardware.com/is/image/nh/snh_165472_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,41 - 50 lb,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v846_n165-472.pdf
N348-524,038613348523,V446,Ornamental Spring T-Hinge,"446 Ornamental Spring T Hinges, Stainless Steel, 7""",Gate Hinges,"7""",Stainless Steel,53.05,National Hardware list price,Active,False,https://www.national-hardware.com/p/446-ornamental-spring-t-hinges?model=N348-524,https://images.national-hardware.com/is/image/nh/nh_348524_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_348524_iu?$nhwProductThumbs$,lifespan|outdoor|stainlesssteel|weatherguard,41 - 50 lb,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_446_n348-524.pdf
N179-192,038613179196,858BC,Ornamental Strap Hinge,"858 Ornamental Strap Hinges, Black, 10""",Gate Hinges,"10""",Black,28.75,National Hardware list price,Active,False,https://www.national-hardware.com/p/858-ornamental-strap-hinges?model=N179-192,https://images.national-hardware.com/is/image/nh/nh_179192_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,31 - 40 lb,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_858bc_n179-192.pdf
N109-035,038613881945,V847,Ornamental Strap Reversible Strap Hinges,"847 Ornamental Strap Hinges, Black, 6""",Gate Hinges,"6""",Black,10.49,National Hardware list price,Discontinued,True,https://www.national-hardware.com/p/847-ornamental-strap-hinges?model=N109-035,https://images.national-hardware.com/is/image/nh/snh_109035_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_109035_iu?$nhwProductThumbs$,lifespan|outdoor,,,,False,False,,
N881-946,038613881945,V847,Ornamental Strap Reversible Strap Hinges,"847 Ornamental Strap Hinges, Black, 6""",Gate Hinges,"6""",Matte Black,33.46,National Hardware list price,Active,False,https://www.national-hardware.com/p/847-ornamental-strap-hinges?model=N881-946,https://images.national-hardware.com/is/image/nh/noimage?$nhwProductThumbs$,,lifespan|outdoor,,,,False,False,,
N165-480,038613165489,V849,Ornamental T-Hinge,"849 Ornamental T Hinges, Black, 7""",Gate Hinges,"7""",Black,36.4,National Hardware list price,Active,False,https://www.national-hardware.com/p/849-ornamental-t-hinges?model=N165-480,https://images.national-hardware.com/is/image/nh/snh_165480_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_165480_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,51 - 100 lb,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_849_n165-480.pdf
N179-200,038613179202,859BC,Ornamental T-Hinge,"859 Ornamental T Hinges, Black, 10""",Gate Hinges,"10""",Black,23.8,National Hardware list price,Active,False,https://www.national-hardware.com/p/859-ornamental-t-hinges?model=N179-200,https://images.national-hardware.com/is/image/nh/nh_179200_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,31 - 40 lb,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_859bc_n179-200.pdf
N303-115,038613303119,843,Ornamental T-Hinge,"843 Ornamental T Hinge, Stainless Steel, 8""",Gate Hinges,"8""",Stainless Steel,51.11,National Hardware list price,Active,False,https://www.national-hardware.com/p/843-ornamental-t-hinge?model=N303-115,https://images.national-hardware.com/is/image/nh/noimage?$nhwProductThumbs$,,lifespan|outdoor|stainlesssteel|weatherguard,,,,False,False,,
N881-904,038613881907,V841,Ornamental T-Hinge,"841 Ornamental Reversible T Hinges, Black, 4""",Gate Hinges,"4""",Black,23.65,National Hardware list price,Active,False,https://www.national-hardware.com/p/841-ornamental-reversible-t-hinges?model=N881-904,https://images.national-hardware.com/is/image/nh/nh_881904_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,21 - 30 lb,,,False,False,Fixed,
N131-375,038613131378,298BC,Pintle,"298 Pintles, Zinc Plated, 1/2""",Gate Parts & Accessories,"1/2""",Zinc Plated,14.38,National Hardware list price,Active,False,https://www.national-hardware.com/p/298-pintles?model=N131-375,https://images.national-hardware.com/is/image/nh/nh_131375_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_131375_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,51 - 100 lb,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_298bc_n131-375.pdf
N199-158,038613199156,V28,Post Mount Gate Latch,"28 Post Mount Gate Latches, Black",Gate Latches & Locks,,Black,32.79,National Hardware list price,Active,False,https://www.national-hardware.com/p/28-post-mount-gate-latches?model=N199-158,https://images.national-hardware.com/is/image/nh/snh_199158_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_199158_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v28_n199-158.pdf
N348-508,038613348509,V427,Professional Choice™ Heavy Duty Thumb Latch,"427 Heavy Duty Thumb Latch, Stainless Steel, 11""",Gate Latches & Locks,"11""",Stainless Steel,62.3,National Hardware list price,Active,False,https://www.national-hardware.com/p/427-professional-choice-heavy-duty-thumb-latch?model=N348-508,https://images.national-hardware.com/is/image/nh/nh_348508_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_348508_iu?$nhwProductThumbs$,lifespan|outdoor|stainlesssteel|weatherguard,,,Gate_Latches-Locks Latches,False,False,,
N214-092,038613900233,DPV881,Rustic Gate Kit,"881 Rustic Gate Kits, Black",Gate Kits,,Black,55.72,National Hardware list price,Active,False,https://www.national-hardware.com/p/881-rustic-gate-kits?model=N214-092,https://images.national-hardware.com/is/image/nh/snh_214092_c1?$nhwProductThumbs$,https://images.national-hardware.com/is/image/nh/nh_214092_iu?$nhwProductThumbs$,lifespan|outdoor|weatherguard,51 - 100 lb,,,False,False,,
N166-031,886780030648,V1104,Rustic Modern Gate Kit,"1104 Rustic Modern Gate Kit, Black",Gate Kits,,Black,127.09,National Hardware list price,Active,False,https://www.national-hardware.com/p/1104-rustic-modern-gate-kit?model=N166-031,https://images.national-hardware.com/is/image/nh/nh_166031_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_ig_sn12195_v1104_.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v1104.pdf
N166-028,886780030617,V1103,Rustic Modern Gate Latch,"1103 Rustic Modern Gate Latch, Black, 7-7/16""",Gate Latches & Locks,"7-7/16""",Black,33.37,National Hardware list price,Active,False,https://www.national-hardware.com/p/1103-rustic-modern-gate-latch?model=N166-028,https://images.national-hardware.com/is/image/nh/nh_166028_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,Gate_Latches-Locks Latches,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_ig_sn12192_v1103_.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v1103.pdf
N166-027,886780030600,V1102,Rustic Modern Gate Pull,"1102 Rustic Modern Gate Pull, Black, 9-13/16""",Gate Parts & Accessories,"9-13/16""",Black,51.34,National Hardware list price,Active,False,https://www.national-hardware.com/p/1102-rustic-modern-gate-pull?model=N166-027,https://images.national-hardware.com/is/image/nh/nh_166027_c1?$nhwProductThumbs$,,lifespan|outdoor|weatherguard,,,,False,False,,https://nationalhardwarestorage.blob.core.windows.net/documents/nh_ig_sn12191_v1102_.pdf|https://nationalhardwarestorage.blob.core.windows.net/documents/nh_td_v1102.pdf
